Date,Open,High,Low,Close,Adj Close,Volume
2005-08-08,16.493334,16.513332,16.366667,16.383333,11.017980,21678600
2005-08-09,16.383333,16.520000,16.363333,16.406668,11.033670,23391600
2005-08-10,16.436666,16.583332,16.253332,16.280001,10.948484,32913300
2005-08-11,16.343332,16.433332,16.216667,16.316668,10.973147,28682700
2005-08-12,16.273333,16.366667,16.186666,16.233334,10.917100,30896400
2005-08-15,16.273333,16.383333,16.166668,16.366667,11.006767,31035600
2005-08-16,16.020000,16.066668,15.716667,15.856667,10.663792,89274900
2005-08-17,15.770000,15.870000,15.703333,15.703333,10.594073,35434800
2005-08-18,15.726667,15.820000,15.500000,15.746667,10.623313,25431600
2005-08-19,15.793333,15.793333,15.503333,15.526667,10.474893,43331400
2005-08-22,15.620000,15.730000,15.443333,15.556667,10.495130,30666600
2005-08-23,15.476667,15.550000,15.433333,15.446667,10.420920,26470200
2005-08-24,15.450000,15.486667,15.156667,15.183333,10.243264,46920300
2005-08-25,15.276667,15.316667,15.053333,15.096667,10.184795,37700700
2005-08-26,15.106667,15.350000,15.070000,15.233333,10.276996,43791000
2005-08-29,15.146667,15.316667,15.096667,15.216667,10.265748,31727400
2005-08-30,15.120000,15.166667,14.916667,15.063333,10.162305,68980500
2005-08-31,15.096667,15.100000,14.900000,14.986667,10.110586,65643600
2005-09-01,14.983333,15.046667,14.906667,15.000000,10.119579,50821800
2005-09-02,15.050000,15.060000,14.843333,14.850000,10.018387,35389200
2005-09-06,14.950000,15.243333,14.933333,15.230000,10.274751,50834400
2005-09-07,15.276667,15.326667,15.120000,15.286667,10.312976,40037100
2005-09-08,15.200000,15.286667,15.106667,15.286667,10.312976,31632900
2005-09-09,15.216667,15.373333,14.966667,15.296667,10.319720,32341500
2005-09-12,15.240000,15.376667,15.183333,15.296667,10.319720,34302900
2005-09-13,15.493333,15.493333,15.010000,15.023333,10.135322,49302300
2005-09-14,15.060000,15.100000,14.856667,14.900000,10.052114,46088700
2005-09-15,14.900000,14.933333,14.743333,14.773333,9.966660,55333200
2005-09-16,14.736667,14.823333,14.610000,14.623333,9.865463,290360400
2005-09-19,14.666667,14.746667,14.606667,14.670000,9.896953,102286500
2005-09-20,14.693333,14.716667,14.363333,14.403333,9.717047,78952500
2005-09-21,14.340000,14.380000,14.143333,14.163333,9.555131,81564000
2005-09-22,14.150000,14.510000,14.103333,14.396667,9.712549,66570000
2005-09-23,14.433333,14.550000,14.290000,14.400000,9.714795,54646200
2005-09-26,14.590000,14.610000,14.340000,14.370000,9.694557,46870500
2005-09-27,14.483333,14.483333,14.300000,14.366667,9.692311,43078500
2005-09-28,14.350000,14.466667,14.253333,14.376667,9.699057,55667700
2005-09-29,14.430000,14.526667,14.336667,14.513333,9.791254,48048000
2005-09-30,14.493333,14.623333,14.450000,14.606667,9.854222,40959900
2005-10-03,14.716667,14.806667,14.563333,14.586667,9.840730,49841700
2005-10-04,14.586667,14.763333,14.586667,14.616667,9.860971,41394600
2005-10-05,14.656667,14.656667,14.500000,14.500000,9.782258,42729600
2005-10-06,14.650000,14.816667,14.433333,14.643333,9.878958,61397100
2005-10-07,14.673333,14.743333,14.583333,14.676667,9.901449,36778200
2005-10-10,14.890000,15.000000,14.816667,14.846667,10.016134,56706300
2005-10-11,14.996667,15.066667,14.850000,15.006667,10.124077,51459900
2005-10-12,15.020000,15.050000,14.866667,14.980000,10.106087,47223900
2005-10-13,14.966667,15.033333,14.870000,14.920000,10.065610,37367700
2005-10-14,15.060000,15.086667,14.866667,15.013333,10.128577,35573400
2005-10-17,15.093333,15.096667,14.946667,15.080000,10.173552,29382900
2005-10-18,15.066667,15.166667,15.013333,15.043333,10.148816,35964300
2005-10-19,15.043333,15.356667,14.926667,15.330000,10.342210,51174600
2005-10-20,15.383333,15.523333,15.133333,15.200000,10.254507,56780400
2005-10-21,15.260000,15.366667,15.200000,15.240000,10.281492,40101900
2005-10-24,15.363333,15.450000,15.236667,15.403333,10.391690,31100400
2005-10-25,15.320000,15.360000,15.083333,15.130000,10.207282,44937300
2005-10-26,15.056667,15.326667,15.020000,15.193333,10.250011,35736300
2005-10-27,15.146667,15.226667,14.906667,14.913333,10.061110,37290900
2005-10-28,14.996667,15.183333,14.920000,15.166667,10.232018,37059000
2005-10-31,15.366667,15.850000,15.330000,15.770000,10.639053,67505100
2005-11-01,15.706667,15.743333,15.610000,15.663333,10.567090,35350500
2005-11-02,15.583333,15.923333,15.536667,15.853333,10.695272,37675200
2005-11-03,16.000000,16.043333,15.710000,15.816667,10.670537,48085500
2005-11-04,15.800000,15.916667,15.693333,15.896667,10.724508,31394100
2005-11-07,15.973333,16.063334,15.916667,16.016666,10.805466,36525300
2005-11-08,15.933333,15.950000,15.790000,15.870000,10.706514,22518600
2005-11-09,15.843333,16.123333,15.773333,16.066668,10.839193,40248600
2005-11-10,16.083332,16.433332,16.049999,16.346666,11.028095,56812800
2005-11-11,16.386667,16.493334,16.256666,16.333332,11.019097,36355800
2005-11-14,16.469999,16.563334,16.336666,16.433332,11.086560,41502600
2005-11-15,16.266666,16.373333,16.103333,16.260000,10.969625,50548800
2005-11-16,16.260000,16.400000,16.110001,16.293333,10.992113,35256600
